AM,Amazonas
AM,Amazonas,Manaus
AM,Amazonas,Manaus,Adianópolis
AM,Amazonas,Manaus,Adrianápolis
AM,Amazonas,Manaus,Adrianópolis
AM,Amazonas,Manaus,Aleixo
AM,Amazonas,Manaus,Alfredo Nascimento
AM,Amazonas,Manaus,Alvorada
AM,Amazonas,Manaus,Amazonino Mendes
AM,Amazonas,Manaus,Aparecida
AM,Amazonas,Manaus,Área Rural
AM,Amazonas,Manaus,Armando Mendes
AM,Amazonas,Manaus,Bairro da Paz
AM,Amazonas,Manaus,Betânia
AM,Amazonas,Manaus,Bom Jardim
AM,Amazonas,Manaus,Braga Mendes
AM,Amazonas,Manaus,Cachoeirinha
AM,Amazonas,Manaus,Campo Dourado
AM,Amazonas,Manaus,Campos Elíseos
AM,Amazonas,Manaus,Campos Elíseos  II
AM,Amazonas,Manaus,Caramuru
AM,Amazonas,Manaus,Castanheiras
AM,Amazonas,Manaus,CD Res Int P Negra
AM,Amazonas,Manaus,Centro
AM,Amazonas,Manaus,Chapada
AM,Amazonas,Manaus,Ciadade Nova
AM,Amazonas,Manaus,Cidade Alta
AM,Amazonas,Manaus,Cidade de Deus
AM,Amazonas,Manaus,Cidade Leste
AM,Amazonas,Manaus,Cidade Nova
AM,Amazonas,Manaus,Cidade Nova 1
AM,Amazonas,Manaus,Cidade Nova 5 Mutirão
AM,Amazonas,Manaus,Cidade Nova III
AM,Amazonas,Manaus,Cj 31 de Marco
AM,Amazonas,Manaus,Cj A Virgílio Fº
AM,Amazonas,Manaus,Cj Américo Medeiros
AM,Amazonas,Manaus,Cj Bancários S Jorge
AM,Amazonas,Manaus,Cj Beija Flor II
AM,Amazonas,Manaus,Cj Canaranas
AM,Amazonas,Manaus,Cj Celetramazon
AM,Amazonas,Manaus,Cj Cidadão
AM,Amazonas,Manaus,Cj Cophasa
AM,Amazonas,Manaus,Cj Fca Mendes II
AM,Amazonas,Manaus,Cj Hab Sgt Pantoja
AM,Amazonas,Manaus,Cj Ipase
AM,Amazonas,Manaus,Cj Jardim Asteca
AM,Amazonas,Manaus,Cj Jardim Eden
AM,Amazonas,Manaus,Cj Jardim Juruá
AM,Amazonas,Manaus,Cj Jardim Oriente
AM,Amazonas,Manaus,Cj Jardim Uirapuru
AM,Amazonas,Manaus,Cj Kissia
AM,Amazonas,Manaus,Cj Manauense
AM,Amazonas,Manaus,Cj Nova República II
AM,Amazonas,Manaus,Cj Osvaldo Frota II
AM,Amazonas,Manaus,Cj Parque Aripuanã
AM,Amazonas,Manaus,Cj Parque das Nações
AM,Amazonas,Manaus,Cj Parque Shangrilá II
AM,Amazonas,Manaus,Cj Parque Shangrilá III
AM,Amazonas,Manaus,Cj Parque Shangrilá VII
AM,Amazonas,Manaus,Cj Paulo Nery
AM,Amazonas,Manaus,Cj Plácido de Castro
AM,Amazonas,Manaus,Cj Renato S Pinto II
AM,Amazonas,Manaus,Cj Ribeiro Jr
AM,Amazonas,Manaus,Cj Santo Aleixo
AM,Amazonas,Manaus,Cj Sen João Bosco I
AM,Amazonas,Manaus,Cj Sérgio P Neto
AM,Amazonas,Manaus,Cj Vila Marinho
AM,Amazonas,Manaus,Cj Villa da Barra
AM,Amazonas,Manaus,Cj Villa do Rei
AM,Amazonas,Manaus,Cj Villa Real
AM,Amazonas,Manaus,Cj Villa Rica
AM,Amazonas,Manaus,Cj Villar Câmara
AM,Amazonas,Manaus,Cj. Nascente das Águas
AM,Amazonas,Manaus,Col Antônio Aleixo
AM,Amazonas,Manaus,Col Oliveira Machado
AM,Amazonas,Manaus,Col Sto Antônio
AM,Amazonas,Manaus,Col Sto Antônio Flores
AM,Amazonas,Manaus,Col Terra Nova
AM,Amazonas,Manaus,Colônia Antônio
AM,Amazonas,Manaus,Colônia Antônio Aleixo
AM,Amazonas,Manaus,Colônia Chico Mendes
AM,Amazonas,Manaus,Colônia Japonesa
AM,Amazonas,Manaus,colonia oliv machado
AM,Amazonas,Manaus,Colônia Oliveira Machado
AM,Amazonas,Manaus,Colônia Santo Antonio
AM,Amazonas,Manaus,Colônia Terra Nova
AM,Amazonas,Manaus,Com 19 de Junho
AM,Amazonas,Manaus,Com Betel
AM,Amazonas,Manaus,Com Bom Jesus
AM,Amazonas,Manaus,Com Mundo Novo
AM,Amazonas,Manaus,Com Ns P Socorro
AM,Amazonas,Manaus,Com Simão Cardoso
AM,Amazonas,Manaus,Compensa
AM,Amazonas,Manaus,Compensa 2
AM,Amazonas,Manaus,Comunidade 19 de Junho
AM,Amazonas,Manaus,Comunidade Beija Flor
AM,Amazonas,Manaus,Comunidade Betel
AM,Amazonas,Manaus,Comunidade da Sharp
AM,Amazonas,Manaus,Comunidade de Deus
AM,Amazonas,Manaus,Comunidade Mundo Novo
AM,Amazonas,Manaus,Comunidade N S P Socorro
AM,Amazonas,Manaus,Comunidade Ouro Verde
AM,Amazonas,Manaus,Comunidade Santa Luzia
AM,Amazonas,Manaus,Comunidade São Francisco
AM,Amazonas,Manaus,Comunidade Simão Cardoso
AM,Amazonas,Manaus,Condomínio Arvoredo
AM,Amazonas,Manaus,Condomínio Efigênio Salles
AM,Amazonas,Manaus,Condomínio Greenhold Park
AM,Amazonas,Manaus,Condomínio Imperial
AM,Amazonas,Manaus,Condomínio Ipanema
AM,Amazonas,Manaus,Condomínio Iurita
AM,Amazonas,Manaus,Condomínio Jardim Santorini
AM,Amazonas,Manaus,Condomínio Joaquim Ribeiro
AM,Amazonas,Manaus,Condomínio La Ville
AM,Amazonas,Manaus,Condomínio Malibu
AM,Amazonas,Manaus,Condomínio Mariua
AM,Amazonas,Manaus,Condomínio Pq do Lago
AM,Amazonas,Manaus,Condomínio Res Int P Negra
AM,Amazonas,Manaus,Condomínio Res Laranjeiras
AM,Amazonas,Manaus,Condomínio São Salvador
AM,Amazonas,Manaus,Condomínio Shalon Tower Park
AM,Amazonas,Manaus,Conj Belvedere
AM,Amazonas,Manaus,Conj Parq das Laranjeiras
AM,Amazonas,Manaus,Conjunto Abílio Nery
AM,Amazonas,Manaus,Conjunto Acariquara
AM,Amazonas,Manaus,Conjunto Advogados
AM,Amazonas,Manaus,Conjunto Agricentro
AM,Amazonas,Manaus,Conjunto Ajuribaca
AM,Amazonas,Manaus,Conjunto Ajuricaba
AM,Amazonas,Manaus,Conjunto Alphaville
AM,Amazonas,Manaus,Conjunto Álvaro Neves
AM,Amazonas,Manaus,Conjunto Amadeu Botelho
AM,Amazonas,Manaus,Conjunto Anavilhanas I
AM,Amazonas,Manaus,Conjunto Anavilhanas II
AM,Amazonas,Manaus,Conjunto Anavilhanas III
AM,Amazonas,Manaus,Conjunto Arco Íris
AM,Amazonas,Manaus,Conjunto Arco Íris III
AM,Amazonas,Manaus,Conjunto Aristocrático
AM,Amazonas,Manaus,Conjunto Arthur Reis
AM,Amazonas,Manaus,Conjunto Arthur Virgílio
AM,Amazonas,Manaus,Conjunto Asa
AM,Amazonas,Manaus,Conjunto Athilio Andreazza
AM,Amazonas,Manaus,Conjunto Augusto Montenegro
AM,Amazonas,Manaus,Conjunto Bancarios
AM,Amazonas,Manaus,Conjunto Barra Bella
AM,Amazonas,Manaus,Conjunto Beija Flor I
AM,Amazonas,Manaus,Conjunto Belo Horizonte
AM,Amazonas,Manaus,Conjunto Beverly Hills
AM,Amazonas,Manaus,Conjunto Canaã
AM,Amazonas,Manaus,Conjunto Castanheira II
AM,Amazonas,Manaus,Conjunto Castelinho
AM,Amazonas,Manaus,Conjunto Castelo Branco
AM,Amazonas,Manaus,Conjunto Chagas Aguiar
AM,Amazonas,Manaus,Conjunto Cidade Flores
AM,Amazonas,Manaus,Conjunto Cidade Nova 2
AM,Amazonas,Manaus,Conjunto Cidade Nova IV
AM,Amazonas,Manaus,Conjunto Colina do Aleixo
AM,Amazonas,Manaus,Conjunto Costa e Silva
AM,Amazonas,Manaus,Conjunto Déborah
AM,Amazonas,Manaus,Conjunto Eldorado
AM,Amazonas,Manaus,Conjunto Encontro das Água
AM,Amazonas,Manaus,Conjunto Flamanal
AM,Amazonas,Manaus,Conjunto Galiléia
AM,Amazonas,Manaus,Conjunto Grêmio Guanabara
AM,Amazonas,Manaus,Conjunto Hab Boas Novas
AM,Amazonas,Manaus,Conjunto Hab Sargento Pantoja
AM,Amazonas,Manaus,Conjunto Hileia I
AM,Amazonas,Manaus,Conjunto Hileia II
AM,Amazonas,Manaus,Conjunto Huascar Angelim
AM,Amazonas,Manaus,Conjunto Içá Paraíba
AM,Amazonas,Manaus,Conjunto Icaraí
AM,Amazonas,Manaus,Conjunto Itacolomi
AM,Amazonas,Manaus,Conjunto Itas
AM,Amazonas,Manaus,Conjunto Jardim
AM,Amazonas,Manaus,Conjunto Jardim Amazonas
AM,Amazonas,Manaus,Conjunto Jardim das Américas
AM,Amazonas,Manaus,Conjunto Jardim Espanha I
AM,Amazonas,Manaus,Conjunto Jardim Espanha II
AM,Amazonas,Manaus,Conjunto Jardim Espanha III
AM,Amazonas,Manaus,Conjunto Jardim Europa
AM,Amazonas,Manaus,Conjunto Jardim Haydea I
AM,Amazonas,Manaus,Conjunto Jardim Haydea II
AM,Amazonas,Manaus,Conjunto Jardim Haydea III
AM,Amazonas,Manaus,Conjunto Jardim Iolanda
AM,Amazonas,Manaus,Conjunto Jardim Itaóca
AM,Amazonas,Manaus,Conjunto Jardim Meridional
AM,Amazonas,Manaus,Conjunto Jardim Nova Friburgo
AM,Amazonas,Manaus,Conjunto Jardim Orquídea
AM,Amazonas,Manaus,Conjunto Jardim Paulista
AM,Amazonas,Manaus,Conjunto Jardim Petrópolis
AM,Amazonas,Manaus,Conjunto Jardim Primavera I
AM,Amazonas,Manaus,Conjunto Jardim Primavera II
AM,Amazonas,Manaus,Conjunto Jardim Versalles
AM,Amazonas,Manaus,Conjunto Jardim Versalles II
AM,Amazonas,Manaus,Conjunto João Paulo VI
AM,Amazonas,Manaus,Conjunto Manoa
AM,Amazonas,Manaus,Conjunto Manoel Nogueira
AM,Amazonas,Manaus,Conjunto Marina Tauá
AM,Amazonas,Manaus,Conjunto Monte Líbano
AM,Amazonas,Manaus,Conjunto Moto Importadora
AM,Amazonas,Manaus,Conjunto Mucuripe I
AM,Amazonas,Manaus,Conjunto Mucuripe III
AM,Amazonas,Manaus,Conjunto Murici
AM,Amazonas,Manaus,Conjunto Nasc Águas Claras
AM,Amazonas,Manaus,Conjunto Novo Mundo
AM,Amazonas,Manaus,Conjunto Osvaldo Frota I
AM,Amazonas,Manaus,Conjunto Ouro Preto
AM,Amazonas,Manaus,Conjunto Parque Aruanã
AM,Amazonas,Manaus,Conjunto Parque das Laranjeira
AM,Amazonas,Manaus,Conjunto Parque das Palmeiras
AM,Amazonas,Manaus,Conjunto Parque das Samambaias
AM,Amazonas,Manaus,Conjunto Parque das Sucupiras
AM,Amazonas,Manaus,Conjunto Parque dos Rios I
AM,Amazonas,Manaus,Conjunto Parque Jeruzalém
AM,Amazonas,Manaus,Conjunto Parque Res Ouro Negro
AM,Amazonas,Manaus,Conjunto Parque Shangrilá I
AM,Amazonas,Manaus,Conjunto Parque Shangrilá IV
AM,Amazonas,Manaus,Conjunto Parque Tropical
AM,Amazonas,Manaus,Conjunto Petro
AM,Amazonas,Manaus,Conjunto Pindorama
AM,Amazonas,Manaus,Conjunto Renascer
AM,Amazonas,Manaus,Conjunto Renato S Pinto I
AM,Amazonas,Manaus,Conjunto Res Acácias
AM,Amazonas,Manaus,Conjunto Res Ben Hur
AM,Amazonas,Manaus,Conjunto Res Cruzeiro Sul
AM,Amazonas,Manaus,Conjunto Res da Aefam
AM,Amazonas,Manaus,Conjunto Res Eduardo Gomes
AM,Amazonas,Manaus,Conjunto Res Emanuele
AM,Amazonas,Manaus,Conjunto Res Florença
AM,Amazonas,Manaus,Conjunto Res House Ville
AM,Amazonas,Manaus,Conjunto Res Jardim Friburgo
AM,Amazonas,Manaus,Conjunto Res Lago Azul
AM,Amazonas,Manaus,Conjunto Res Rio Tupana
AM,Amazonas,Manaus,Conjunto Res Santa Maria
AM,Amazonas,Manaus,Conjunto Res São Camilo
AM,Amazonas,Manaus,Conjunto Rio Maracanã
AM,Amazonas,Manaus,Conjunto Rio Xingu
AM,Amazonas,Manaus,Conjunto Rouxinol
AM,Amazonas,Manaus,Conjunto Santos Dumont
AM,Amazonas,Manaus,Conjunto São Cristóvão
AM,Amazonas,Manaus,Conjunto Sausalito
AM,Amazonas,Manaus,Conjunto Sen João Bosco II
AM,Amazonas,Manaus,Conjunto Sgt Subt Polícia
AM,Amazonas,Manaus,Conjunto Sol Morar
AM,Amazonas,Manaus,Conjunto Sol Nascente
AM,Amazonas,Manaus,Conjunto Suplanzao
AM,Amazonas,Manaus,Conjunto Tapajós
AM,Amazonas,Manaus,Conjunto Tiradentes
AM,Amazonas,Manaus,Conjunto Veneza
AM,Amazonas,Manaus,Conjunto Verdes Mares I
AM,Amazonas,Manaus,Conjunto Verdes Mares II
AM,Amazonas,Manaus,Conjunto Vila Militar Bafuru
AM,Amazonas,Manaus,Conjunto Vila Militar Guarar
AM,Amazonas,Manaus,Conjunto Vila Militar P Negrão
AM,Amazonas,Manaus,Conjunto Vila Militar S Jorge
AM,Amazonas,Manaus,Conjunto Villa Ajuricaba
AM,Amazonas,Manaus,Conjunto Villa Amazonas
AM,Amazonas,Manaus,Conjunto Villa Humaitá
AM,Amazonas,Manaus,Conjunto Villa Municipal
AM,Amazonas,Manaus,Conjunto Villa Nova
AM,Amazonas,Manaus,Conjunto Villa Verde
AM,Amazonas,Manaus,Conjunto Villa Verde II
AM,Amazonas,Manaus,Conjunto Vista Bela
AM,Amazonas,Manaus,Conjunto Vivenda do Pontal
AM,Amazonas,Manaus,Coroado
AM,Amazonas,Manaus,Crespo
AM,Amazonas,Manaus,D. Pedro
AM,Amazonas,Manaus,D. Pedro II
AM,Amazonas,Manaus,D.Pedro I
AM,Amazonas,Manaus,D.Pedro I
AM,Amazonas,Manaus,Delzedere-Planalto
AM,Amazonas,Manaus,Distrito Industrial
AM,Amazonas,Manaus,Distrito Industrial II
AM,Amazonas,Manaus,Dom Pedro
AM,Amazonas,Manaus,Educando
AM,Amazonas,Manaus,Educandos
AM,Amazonas,Manaus,Estrela do Norte
AM,Amazonas,Manaus,Flores
AM,Amazonas,Manaus,Florestal
AM,Amazonas,Manaus,Francisca Mendes
AM,Amazonas,Manaus,Francisca Mendes II
AM,Amazonas,Manaus,Galo Carijó
AM,Amazonas,Manaus,Gilberto Mestrinho
AM,Amazonas,Manaus,Glória
AM,Amazonas,Manaus,Grande Vitória
AM,Amazonas,Manaus,Guaratiba
AM,Amazonas,Manaus,Hiléia
AM,Amazonas,Manaus,Japiim
AM,Amazonas,Manaus,Japiim II
AM,Amazonas,Manaus,Japiinlândia
AM,Amazonas,Manaus,Japim I
AM,Amazonas,Manaus,Jardim Hileia
AM,Amazonas,Manaus,Jardim Mauá
AM,Amazonas,Manaus,Jardim Tropical
AM,Amazonas,Manaus,Jd Tropical Dom Pedro
AM,Amazonas,Manaus,Jeruzalém
AM,Amazonas,Manaus,João Paulo
AM,Amazonas,Manaus,Jorge Teixeira
AM,Amazonas,Manaus,Jorge Teixeira IV
AM,Amazonas,Manaus,José Bonifácio
AM,Amazonas,Manaus,Lagoa Verde
AM,Amazonas,Manaus,Lírio do Vale
AM,Amazonas,Manaus,Loteamento Agnus Dei
AM,Amazonas,Manaus,Loteamento Bairro Novo
AM,Amazonas,Manaus,Loteamento Bom Pastor
AM,Amazonas,Manaus,Loteamento Buriti
AM,Amazonas,Manaus,Loteamento Campos Sales
AM,Amazonas,Manaus,Loteamento Centenário
AM,Amazonas,Manaus,Loteamento Evangélico
AM,Amazonas,Manaus,Loteamento Fazendinha
AM,Amazonas,Manaus,Loteamento Flávio Esp Santo
AM,Amazonas,Manaus,Loteamento Industriarios
AM,Amazonas,Manaus,Loteamento Jardim Fortaleza
AM,Amazonas,Manaus,Loteamento Jardim Manaus
AM,Amazonas,Manaus,Loteamento Novo Horizonte
AM,Amazonas,Manaus,Loteamento Parque dos Tucanos
AM,Amazonas,Manaus,Loteamento Portal do Japão
AM,Amazonas,Manaus,Loteamento Pq das Mansões
AM,Amazonas,Manaus,Loteamento Pq Mauá
AM,Amazonas,Manaus,Loteamento Res América Sul
AM,Amazonas,Manaus,Loteamento Santa Rita
AM,Amazonas,Manaus,Loteamento Tapajós II
AM,Amazonas,Manaus,Loteamento Vera Cruz
AM,Amazonas,Manaus,Loteamento Vitória
AM,Amazonas,Manaus,Loteamento Waldomiro
AM,Amazonas,Manaus,Marina Rio Belo
AM,Amazonas,Manaus,Mauazinho
AM,Amazonas,Manaus,Mauazinho - CEASA
AM,Amazonas,Manaus,Monte Castelo
AM,Amazonas,Manaus,Monte Cristo
AM,Amazonas,Manaus,Monte Oliveiras
AM,Amazonas,Manaus,Monte Pascoal
AM,Amazonas,Manaus,Monte Sião
AM,Amazonas,Manaus,Monte Sinai
AM,Amazonas,Manaus,Morada do Sol
AM,Amazonas,Manaus,Morro da Liberdade
AM,Amazonas,Manaus,Mundo Novo
AM,Amazonas,Manaus,N S de Fátima
AM,Amazonas,Manaus,Neópolis
AM,Amazonas,Manaus,Nossa Senhora das Gr
AM,Amazonas,Manaus,Nossa Sra ds Graças
AM,Amazonas,Manaus,Nova Cidade
AM,Amazonas,Manaus,Nova Conquista
AM,Amazonas,Manaus,Nova Esperança
AM,Amazonas,Manaus,Nova Esperança I
AM,Amazonas,Manaus,Nova Esperança II
AM,Amazonas,Manaus,Nova Floresta
AM,Amazonas,Manaus,Novo Aleixo
AM,Amazonas,Manaus,Novo Israel
AM,Amazonas,Manaus,Novo Reino
AM,Amazonas,Manaus,Novo Reino II
AM,Amazonas,Manaus,Ns das Graças
AM,Amazonas,Manaus,Ns Fátima
AM,Amazonas,Manaus,Ns Graças
AM,Amazonas,Manaus,NSª das Graças
AM,Amazonas,Manaus,Nsa Sra das Graças
AM,Amazonas,Manaus,Oriental
AM,Amazonas,Manaus,Oswaldo Cruz
AM,Amazonas,Manaus,Ouro Verde
AM,Amazonas,Manaus,Parque 10 Novembro/Cidade
AM,Amazonas,Manaus,Parque 10 Novembro/Cidade Nova
AM,Amazonas,Manaus,PARQUE DEZ DE NOVEMBRO
AM,Amazonas,Manaus,Parque Flores
AM,Amazonas,Manaus,Parque Itapuranga III
AM,Amazonas,Manaus,Parque Res Itapuranga I
AM,Amazonas,Manaus,Parque Res Ponte Bolívia
AM,Amazonas,Manaus,Paz
AM,Amazonas,Manaus,Pça 14 de Janeiro
AM,Amazonas,Manaus,Penha
AM,Amazonas,Manaus,Petrópolis
AM,Amazonas,Manaus,Planalto
AM,Amazonas,Manaus,Planalto Campos Elíseos
AM,Amazonas,Manaus,Ponta Negra
AM,Amazonas,Manaus,Pq 10 de Novembro
AM,Amazonas,Manaus,Pq Adrianópolis
AM,Amazonas,Manaus,Pq dos Estados
AM,Amazonas,Manaus,Pq Itapuranga
AM,Amazonas,Manaus,Pq Laranjeiras
AM,Amazonas,Manaus,Pq Riachuelo
AM,Amazonas,Manaus,Praça 14 de Janeiro
AM,Amazonas,Manaus,Praça Quatorze de Janeiro
AM,Amazonas,Manaus,Presidente Vargas
AM,Amazonas,Manaus,Raiz
AM,Amazonas,Manaus,Recreio dos Bandeirantes
AM,Amazonas,Manaus,Redenção
AM,Amazonas,Manaus,Residencial Bosque Estrelas
AM,Amazonas,Manaus,Residencial Jardim Flamboyant
AM,Amazonas,Manaus,Residencial Jardim Imperial
AM,Amazonas,Manaus,Residencial Rio Rei
AM,Amazonas,Manaus,Riacho Doce
AM,Amazonas,Manaus,Riacho Doce III
AM,Amazonas,Manaus,Rio Piorini
AM,Amazonas,Manaus,Santa Cruz
AM,Amazonas,Manaus,Santa Etelvina
AM,Amazonas,Manaus,Santa Inês
AM,Amazonas,Manaus,Santa Luzia
AM,Amazonas,Manaus,Santa Tereza
AM,Amazonas,Manaus,Santa Terezinha
AM,Amazonas,Manaus,Santo Agostinho
AM,Amazonas,Manaus,Santo Antônio
AM,Amazonas,Manaus,São Francisco
AM,Amazonas,Manaus,São Geraldo
AM,Amazonas,Manaus,São Jorge
AM,Amazonas,Manaus,São José  1
AM,Amazonas,Manaus,São José 2
AM,Amazonas,Manaus,São José l
AM,Amazonas,Manaus,Sao Jose Operario
AM,Amazonas,Manaus,São Lázaro
AM,Amazonas,Manaus,São Lucas
AM,Amazonas,Manaus,São Raimundo
AM,Amazonas,Manaus,São Sebastião
AM,Amazonas,Manaus,SãoJosé I
AM,Amazonas,Manaus,Sem Bairro
AM,Amazonas,Manaus,Shangrilá IV
AM,Amazonas,Manaus,Solar Flores
AM,Amazonas,Manaus,Tancredo Neves
AM,Amazonas,Manaus,Tarumã
AM,Amazonas,Manaus,Tauá
AM,Amazonas,Manaus,Telégrafo
AM,Amazonas,Manaus,Tropical
AM,Amazonas,Manaus,União
AM,Amazonas,Manaus,União - Parque 10 
AM,Amazonas,Manaus,União Vitória
AM,Amazonas,Manaus,Val Paraíso
AM,Amazonas,Manaus,Vale do Amanhecer
AM,Amazonas,Manaus,Vale Sinai
AM,Amazonas,Manaus,Vieira Alves
AM,Amazonas,Manaus,Vila Alfredo Nascimento
AM,Amazonas,Manaus,Vila Buriti
AM,Amazonas,Manaus,Vila Felicidade
AM,Amazonas,Manaus,Vila Operaria
AM,Amazonas,Manaus,Vila Prata
AM,Amazonas,Manaus,Vila São José Rio Negro
AM,Amazonas,Manaus,Vila Versalles
AM,Amazonas,Manaus,Vivenda Verde
AM,Amazonas,Manaus,Zona Rural
AM,Amazonas,Manaus,Zumbi
AM,Amazonas,Manaus,Zumbi dos Palmares
AM,Amazonas,Manaus,Zumbi dos Palmares I
AM,Amazonas,Manaus,Zumbi dos Palmares II
AM,Amazonas,Manaus,Zumbi dos Palmares III
AM,Amazonas,Aldeia Piau
AM,Amazonas,Alvarães
AM,Amazonas,Alvarães,Centro
AM,Amazonas,Alvarães,Olaria
AM,Amazonas,Alvarães,Santa Luzia
AM,Amazonas,Alvarães,Sao Francisco
AM,Amazonas,Alvarães,Visaginha
AM,Amazonas,Amaturá
AM,Amazonas,Amaturá,Centro
AM,Amazonas,Amaturá,Cidade Nova
AM,Amazonas,Amaturá,Novo
AM,Amazonas,Amazonas
AM,Amazonas,Amazonas,Alvorada II
AM,Amazonas,Anamã
AM,Amazonas,Anamã,Centro
AM,Amazonas,Anamã,Multirão
AM,Amazonas,Anori
AM,Amazonas,Anori,Beira Mar
AM,Amazonas,Anori,Centro
AM,Amazonas,Anori,Japao
AM,Amazonas,Anori,Sao Carlos
AM,Amazonas,Anori,Sao Sebastiao
AM,Amazonas,Apuí
AM,Amazonas,Apuí,Centro
AM,Amazonas,Apuí,Liberdade
AM,Amazonas,Apuí,Morena
AM,Amazonas,Apuí,Vila Nova
AM,Amazonas,Apuí,Vila Rica
AM,Amazonas,Araras
AM,Amazonas,Araras,Centro
AM,Amazonas,Atalaia do Norte
AM,Amazonas,Atalaia do Norte,Centro
AM,Amazonas,Atalaia do Norte,Sta Luzia
AM,Amazonas,Augusto Montenegro
AM,Amazonas,Augusto Montenegro,Centro
AM,Amazonas,Autazes
AM,Amazonas,Autazes,Centro
AM,Amazonas,Autazes,Engenho
AM,Amazonas,Autazes,Multirao
AM,Amazonas,Autazes,Novo
AM,Amazonas,Autazes,Olinda
AM,Amazonas,Autazes,Pantaleao
AM,Amazonas,Autazes,Santa Luzia
AM,Amazonas,Autazes,Sao Jose
AM,Amazonas,Autazes,Taranta
AM,Amazonas,Autazes,Valdomiro Sampaio
AM,Amazonas,Auxiliadora - Humaitá
AM,Amazonas,Axinim
AM,Amazonas,Axinim,Centro
AM,Amazonas,Balbina
AM,Amazonas,Balbina,Vila Atroari
AM,Amazonas,Balbina,Vila Waimiri
AM,Amazonas,Barcelos
AM,Amazonas,Barcelos,Aparecida
AM,Amazonas,Barcelos,Centro
AM,Amazonas,Barcelos,Gruta
AM,Amazonas,Barcelos,Nazaré
AM,Amazonas,Barcelos,s Sebastiao
AM,Amazonas,Barcelos,Sao Francisco
AM,Amazonas,Barcelos,Sao Lazaro
AM,Amazonas,Barcelos,Sao Sebastiao
AM,Amazonas,Barreira do Andirá
AM,Amazonas,Barreira do Andirá,Centro
AM,Amazonas,Barreirinha
AM,Amazonas,Barreirinha,Centro
AM,Amazonas,Barreirinha,Ladislau Lucas
AM,Amazonas,Barreirinha,Raiz
AM,Amazonas,Barreirinha,Santa Luzia
AM,Amazonas,Barreirinha,Sao Geraldo
AM,Amazonas,Barreirinha,Sao Judas Tadeu
AM,Amazonas,Bela Vista - Manacapuru
AM,Amazonas,Bela Vista - Manacapuru,Centro
AM,Amazonas,Bela Vista - Manacapuru,Col Bela Vista
AM,Amazonas,Belém
AM,Amazonas,Belém,Centro
AM,Amazonas,Benjamin Constant
