PB,Paraíba
PB,Paraíba,João Pessoa
PB,Paraíba,João Pessoa,Aeroclube
PB,Paraíba,João Pessoa,Aeroporto
PB,Paraíba,João Pessoa,Afogados
PB,Paraíba,João Pessoa,Água Fria
PB,Paraíba,João Pessoa,Alagadiço Novo
PB,Paraíba,João Pessoa,Altiplano
PB,Paraíba,João Pessoa,Altiplano Cabo Branco
PB,Paraíba,João Pessoa,Alto Branco
PB,Paraíba,João Pessoa,Alto Céu
PB,Paraíba,João Pessoa,Anatólia
PB,Paraíba,João Pessoa,At. Mateus
PB,Paraíba,João Pessoa,Bairro do Ipês
PB,Paraíba,João Pessoa,Bancários
PB,Paraíba,João Pessoa,Barra Grande
PB,Paraíba,João Pessoa,Beira Rio
PB,Paraíba,João Pessoa,Benedito Bentes
PB,Paraíba,João Pessoa,Bessa
PB,Paraíba,João Pessoa,Bisamar
PB,Paraíba,João Pessoa,Boa Vista
PB,Paraíba,João Pessoa,Bodocongo
PB,Paraíba,João Pessoa,Bom Pastor
PB,Paraíba,João Pessoa,Brismar
PB,Paraíba,João Pessoa,Cabedelo
PB,Paraíba,João Pessoa,Cabo Branco
PB,Paraíba,João Pessoa,Cajueiro
PB,Paraíba,João Pessoa,Campo Grande
PB,Paraíba,João Pessoa,Castelo Branco
PB,Paraíba,João Pessoa,Castelo Branco i
PB,Paraíba,João Pessoa,Castelo Branco ii
PB,Paraíba,João Pessoa,Castelo Branco III
PB,Paraíba,João Pessoa,Catolé
PB,Paraíba,João Pessoa,Cenro
PB,Paraíba,João Pessoa,Centro
PB,Paraíba,João Pessoa,Centro/Torre
PB,Paraíba,João Pessoa,Centro/Torre
PB,Paraíba,João Pessoa,Cidade Colibri
PB,Paraíba,João Pessoa,Cidade Colibris
PB,Paraíba,João Pessoa,Conde
PB,Paraíba,João Pessoa,Conjunto Omega
PB,Paraíba,João Pessoa,Cordão Encarnado
PB,Paraíba,João Pessoa,Costa e Silva
PB,Paraíba,João Pessoa,Cristo
PB,Paraíba,João Pessoa,Cristo Redentor
PB,Paraíba,João Pessoa,Crus das Armas
PB,Paraíba,João Pessoa,Cruz das Almas
PB,Paraíba,João Pessoa,Cuia
PB,Paraíba,João Pessoa,Didtrito Industrial 
PB,Paraíba,João Pessoa,Dinamerica
PB,Paraíba,João Pessoa,Distrito Ind. Mangabeira
PB,Paraíba,João Pessoa,Distrito Industrial
PB,Paraíba,João Pessoa,Distrito Industrial Mangabeira
PB,Paraíba,João Pessoa,Distrito Mecânico
PB,Paraíba,João Pessoa,Ernani Sátiro
PB,Paraíba,João Pessoa,Ernesto Geisel
PB,Paraíba,João Pessoa,Esplanada
PB,Paraíba,João Pessoa,Estados
PB,Paraíba,João Pessoa,Expedicionários
PB,Paraíba,João Pessoa,Funcionários
PB,Paraíba,João Pessoa,Funcionários II
PB,Paraíba,João Pessoa,Funcionários III
PB,Paraíba,João Pessoa,Funcionários IV
PB,Paraíba,João Pessoa,Geisel
PB,Paraíba,João Pessoa,Gramame
PB,Paraíba,João Pessoa,Grotão
PB,Paraíba,João Pessoa,Ilha do Bispo
PB,Paraíba,João Pessoa,Indústrias
PB,Paraíba,João Pessoa,Intermares
PB,Paraíba,João Pessoa,Ipês
PB,Paraíba,João Pessoa,Jaguaribe
PB,Paraíba,João Pessoa,Jardim 13 de Maio
PB,Paraíba,João Pessoa,Jardim Américo
PB,Paraíba,João Pessoa,Jardim Cepol
PB,Paraíba,João Pessoa,Jardim CID Universitária
PB,Paraíba,João Pessoa,Jardim Continental
PB,Paraíba,João Pessoa,Jardim das Acácias
PB,Paraíba,João Pessoa,Jardim Esperança
PB,Paraíba,João Pessoa,Jardim Luna
PB,Paraíba,João Pessoa,Jardim Oceania
PB,Paraíba,João Pessoa,Jardim Planalto
PB,Paraíba,João Pessoa,Jardim São Paulo
PB,Paraíba,João Pessoa,Jardim Tavares
PB,Paraíba,João Pessoa,Jardim Veneza
PB,Paraíba,João Pessoa,João Agripino
PB,Paraíba,João Pessoa,João Paulo II
PB,Paraíba,João Pessoa,Joguaribe
PB,Paraíba,João Pessoa,José Amércio
PB,Paraíba,João Pessoa,José Américo
PB,Paraíba,João Pessoa,José Américo Almeida
PB,Paraíba,João Pessoa,José Pinheiro
PB,Paraíba,João Pessoa,Juracy Palhano
PB,Paraíba,João Pessoa,Lagoa
PB,Paraíba,João Pessoa,Lagoa Azul
PB,Paraíba,João Pessoa,Lagoa Nova
PB,Paraíba,João Pessoa,Lagoa Seca
PB,Paraíba,João Pessoa,Loteamento Morada Nova
PB,Paraíba,João Pessoa,Loteamento Vila Buriti
PB,Paraíba,João Pessoa,Louzeiro
PB,Paraíba,João Pessoa,Madalena
PB,Paraíba,João Pessoa,Malvinas
PB,Paraíba,João Pessoa,Manaira
PB,Paraíba,João Pessoa,Mandacaru
PB,Paraíba,João Pessoa,Mangabeira
PB,Paraíba,João Pessoa,Mangabeira i
PB,Paraíba,João Pessoa,Mangabeira II
PB,Paraíba,João Pessoa,Mangabeira IV
PB,Paraíba,João Pessoa,Mangabeira VI
PB,Paraíba,João Pessoa,Mangabeira VII
PB,Paraíba,João Pessoa,Mangabeira VIII
PB,Paraíba,João Pessoa,Mangabeiras
PB,Paraíba,João Pessoa,Mares
PB,Paraíba,João Pessoa,Miramar
PB,Paraíba,João Pessoa,Mirante
PB,Paraíba,João Pessoa,MONTE SANTO
PB,Paraíba,João Pessoa,Muçumagro
PB,Paraíba,João Pessoa,Mumbaba
PB,Paraíba,João Pessoa,Nações
PB,Paraíba,João Pessoa,NOSSA SENHORA DE NAZARÉ
PB,Paraíba,João Pessoa,Nova América
PB,Paraíba,João Pessoa,Novais
PB,Paraíba,João Pessoa,Oitizeiro
PB,Paraíba,João Pessoa,Padre Zé
PB,Paraíba,João Pessoa,Paratibe
PB,Paraíba,João Pessoa,Parque Esperança
PB,Paraíba,João Pessoa,Parque Manibura
PB,Paraíba,João Pessoa,Paupina
PB,Paraíba,João Pessoa,Pedra Lavrada
PB,Paraíba,João Pessoa,Pedro Condim
PB,Paraíba,João Pessoa,Pedro Gondim
PB,Paraíba,João Pessoa,Penha
PB,Paraíba,João Pessoa,Periperi
PB,Paraíba,João Pessoa,Pina
PB,Paraíba,João Pessoa,Pitimbu
PB,Paraíba,João Pessoa,Planalto Boa Esperan
PB,Paraíba,João Pessoa,Planalto Boa Esperança
PB,Paraíba,João Pessoa,Poço
PB,Paraíba,João Pessoa,Ponta Seixas
PB,Paraíba,João Pessoa,Portal do Sol
PB,Paraíba,João Pessoa,Rangel
PB,Paraíba,João Pessoa,Renascer
PB,Paraíba,João Pessoa,Renascer II
PB,Paraíba,João Pessoa,Roger
PB,Paraíba,João Pessoa,Santa Rita
PB,Paraíba,João Pessoa,São José
PB,Paraíba,João Pessoa,São Sebastião
PB,Paraíba,João Pessoa,Sem Bairro
PB,Paraíba,João Pessoa,Serrotao
PB,Paraíba,João Pessoa,Sítio Cachoeira
PB,Paraíba,João Pessoa,Tabuleiro dos Martins
PB,Paraíba,João Pessoa,Tambau
PB,Paraíba,João Pessoa,Tambauzinho
PB,Paraíba,João Pessoa,Tambauzino
PB,Paraíba,João Pessoa,Tambay
PB,Paraíba,João Pessoa,Tambia
PB,Paraíba,João Pessoa,Tambú
PB,Paraíba,João Pessoa,Tibiri II
PB,Paraíba,João Pessoa,Torre
PB,Paraíba,João Pessoa,Treze de Maio
PB,Paraíba,João Pessoa,Trincheiras
PB,Paraíba,João Pessoa,Universitário
PB,Paraíba,João Pessoa,Urca
PB,Paraíba,João Pessoa,Valentina 1
PB,Paraíba,João Pessoa,Valentina Figueiro
PB,Paraíba,João Pessoa,Varadouro
PB,Paraíba,João Pessoa,Varajao
PB,Paraíba,João Pessoa,Vergel Lago
PB,Paraíba,João Pessoa,Vila Cabral
PB,Paraíba,João Pessoa,Vila Ellery
PB,Paraíba,João Pessoa,Viradouro
PB,Paraíba,João Pessoa,Zona Rural
PB,Paraíba,João Pessoa,Zumbi
PB,Paraíba,Aba da Serra
PB,Paraíba,Acaú
PB,Paraíba,Acaú,Centro
PB,Paraíba,Água Branca
PB,Paraíba,Água Branca,Centro
PB,Paraíba,Água Branca,Gualterina a Vidal
PB,Paraíba,Água Branca,Zona Rural
PB,Paraíba,Aguiar
PB,Paraíba,Aguiar,Centro
PB,Paraíba,Aguiar,Novo Aguiar
PB,Paraíba,Aguiar,Sao Francisco
PB,Paraíba,Aguiar,Zona Rural
PB,Paraíba,Alagoa Grande
PB,Paraíba,Alagoa Grande,Antonio Farias
PB,Paraíba,Alagoa Grande,Bela Vista
PB,Paraíba,Alagoa Grande,Centro
PB,Paraíba,Alagoa Grande,Frei Damiao
PB,Paraíba,Alagoa Grande,Manoel Raimundo
PB,Paraíba,Alagoa Grande,Vera Cruz
PB,Paraíba,Alagoa Grande,Zona Rural
PB,Paraíba,Alagoa Nova
PB,Paraíba,Alagoa Nova,Centro
PB,Paraíba,Alagoa Nova,Santa Luzia
PB,Paraíba,Alagoa Nova,Ulisses Guimaraes
PB,Paraíba,Alagoa Nova,Zona Rural
PB,Paraíba,Alagoinha
PB,Paraíba,Alagoinha,Centro
PB,Paraíba,Alagoinha,Doraci Montenegro
PB,Paraíba,Alagoinha,Luiz Geminiano
PB,Paraíba,Alagoinha,Nova Alagoinha
PB,Paraíba,Alagoinha,Panoramico
PB,Paraíba,Alagoinha,Rafael f Almeida
PB,Paraíba,Alagoinha,Tereza Gondim
PB,Paraíba,Alagoinha,Zona Rural
PB,Paraíba,Alcantil
PB,Paraíba,Alcantil,Centro
PB,Paraíba,Alecrim - Umbuzeiro
PB,Paraíba,Algodão de Jandaíra
PB,Paraíba,Algodão de Jandaíra,Centro
PB,Paraíba,Alhandra
PB,Paraíba,Alhandra,Bela Vista
PB,Paraíba,Alhandra,Caixa D'Água
PB,Paraíba,Alhandra,Caixa Dagua
PB,Paraíba,Alhandra,Centro
PB,Paraíba,Alhandra,Cto Alhandra
PB,Paraíba,Alhandra,Nova Alhandra
PB,Paraíba,Alhandra,Salgadinho
PB,Paraíba,Alhandra,Zona Rural
PB,Paraíba,Alvinho
PB,Paraíba,Alvinho,Centro
PB,Paraíba,Alvinho,Zona Rural
PB,Paraíba,Amparo
PB,Paraíba,Amparo,Centro
PB,Paraíba,Amparo,Zona Rural
PB,Paraíba,Angicos
PB,Paraíba,Angicos,Centro
PB,Paraíba,Antas
PB,Paraíba,Aparecida
PB,Paraíba,Aparecida,Centro
PB,Paraíba,Aparecida,Zona Rural
PB,Paraíba,Araçagi
PB,Paraíba,Araçagi,Bela Vista
PB,Paraíba,Araçagi,Castelo Branco
PB,Paraíba,Araçagi,Centro
PB,Paraíba,Araçagi,Cj José P Sobº
PB,Paraíba,Araçagi,Jose p Sobâº
PB,Paraíba,Araçagi,Nordeste II
PB,Paraíba,Araçagi,Santo Amaro
PB,Paraíba,Araçagi,Sao Joao
PB,Paraíba,Araçagi,Sao Sebastiao
PB,Paraíba,Araçagi,Zona Rural
PB,Paraíba,Arara
PB,Paraíba,Arara,Centro
PB,Paraíba,Arara,Zona Rural
PB,Paraíba,Araruna
PB,Paraíba,Araruna,Antonio Lucas
PB,Paraíba,Araruna,Centro
PB,Paraíba,Araruna,Cj Helder T Maranha
PB,Paraíba,Araruna,Mangabeira
PB,Paraíba,Araruna,Maria Liberato
PB,Paraíba,Araruna,Marizete Dutra
PB,Paraíba,Araruna,Sem Bairro
PB,Paraíba,Araruna,Zona Rural
PB,Paraíba,Areia
PB,Paraíba,Areia,Centro
PB,Paraíba,Areia,Cidade Universitaria
PB,Paraíba,Areia,Frei Damiao
PB,Paraíba,Areia,Jussara
PB,Paraíba,Areia,Nova Brasília
PB,Paraíba,Areia,Pedro Perazzo
PB,Paraíba,Areia,Sem Bairro
PB,Paraíba,Areia,Zona Rural
PB,Paraíba,Areia de Baraúnas
PB,Paraíba,Areia de Baraúnas,Centro
PB,Paraíba,Areial
PB,Paraíba,Areial,Centro
PB,Paraíba,Areial,Paraguai
PB,Paraíba,Aroeiras
PB,Paraíba,Aroeiras,Centro
PB,Paraíba,Assentamento Oiteiro de Miranda
PB,Paraíba,Assunção
PB,Paraíba,Assunção,Centro
PB,Paraíba,Assunção,Zona Rural
PB,Paraíba,Baía da Traição
PB,Paraíba,Baía da Traição,Centro
PB,Paraíba,Baía da Traição,Prainha
PB,Paraíba,Baía da Traição,Zona Rural
PB,Paraíba,Baixa Verde
PB,Paraíba,Baixa Verde,Centro
PB,Paraíba,Baixa Verde,Zona Rural
PB,Paraíba,Bananeiras
PB,Paraíba,Bananeiras,Bananeiras
PB,Paraíba,Bananeiras,Centro
PB,Paraíba,Bananeiras,Cj Homero Araújo
PB,Paraíba,Bananeiras,Edgard s Cruz
PB,Paraíba,Bananeiras,Major a Bezerra
PB,Paraíba,Bananeiras,Santa Terezinha
PB,Paraíba,Bananeiras,Zona Rural
PB,Paraíba,Bandarra - São João do Rio do Peixe
PB,Paraíba,Baraúna
PB,Paraíba,Baraúna,Centro
PB,Paraíba,Baraúna,Cj José Libio
PB,Paraíba,Baraúna,Jardim Planalto
PB,Paraíba,Baraúna,Mariz
PB,Paraíba,Baraúna,Zona Rural
PB,Paraíba,Barra - Juazeirinho
PB,Paraíba,Barra - Juazeirinho,Centro
PB,Paraíba,Barra de Camaratuba
PB,Paraíba,Barra de Camaratuba,Centro
PB,Paraíba,Barra de Camaratuba,Zona Rural
PB,Paraíba,Barra de Cima
PB,Paraíba,Barra de Cima,Centro
PB,Paraíba,Barra de Cima,Zona Rural
PB,Paraíba,Barra de Santa Rosa
PB,Paraíba,Barra de Santa Rosa,Alto Boa Vista
PB,Paraíba,Barra de Santa Rosa,Centro
PB,Paraíba,Barra de Santa Rosa,Tancredo Neves
PB,Paraíba,Barra de Santana
PB,Paraíba,Barra de Santana,Centro
PB,Paraíba,Barra de Santana,Zona Rural
PB,Paraíba,Barra de São Miguel
PB,Paraíba,Barra de São Miguel,Centro
PB,Paraíba,Barra de São Miguel,Zona Rural
PB,Paraíba,Barreiras
PB,Paraíba,Barreiros
PB,Paraíba,Bayeux
PB,Paraíba,Bayeux,Água Fria
PB,Paraíba,Bayeux,Alto Boa Vista
PB,Paraíba,Bayeux,Baralho
PB,Paraíba,Bayeux,Brasilia
PB,Paraíba,Bayeux,Centro
PB,Paraíba,Bayeux,Cj Pres Kennedy
PB,Paraíba,Bayeux,Imaculada
PB,Paraíba,Bayeux,Jardim Aeroporto
PB,Paraíba,Bayeux,Jardim Sao Lourenco
PB,Paraíba,Bayeux,Jardim Sao Severino
PB,Paraíba,Bayeux,Liberdade
PB,Paraíba,Bayeux,Mangabeira
PB,Paraíba,Bayeux,Manguinhos
PB,Paraíba,Bayeux,Mario Andreazza
PB,Paraíba,Bayeux,Mario Andrezza
PB,Paraíba,Bayeux,Mutirão
PB,Paraíba,Bayeux,Planalto
PB,Paraíba,Bayeux,Porto Moinho
PB,Paraíba,Bayeux,Rio Meio
PB,Paraíba,Bayeux,Sao Bento
PB,Paraíba,Bayeux,Sesi
PB,Paraíba,Bayeux,Tambay
PB,Paraíba,Bayeux,Valentina Figueiredo
PB,Paraíba,Bayeux,Várzea Nova
PB,Paraíba,Bayeux,Zona Rural
PB,Paraíba,Bebelândia
PB,Paraíba,Bebelândia,Centro
PB,Paraíba,Belém
PB,Paraíba,Belém,Bela Vista
PB,Paraíba,Belém,Centro
PB,Paraíba,Belém,Sao Luis
PB,Paraíba,Belém,Xaviezao
PB,Paraíba,Belém,Zona Rural
PB,Paraíba,Belém - Tavares
PB,Paraíba,Belém - Tavares,Zona Rural
PB,Paraíba,Belém do Brejo do Cruz
PB,Paraíba,Belém do Brejo do Cruz,Centro
PB,Paraíba,Belém do Brejo do Cruz,Galpoes
PB,Paraíba,Belém do Brejo do Cruz,Miguel Batista
PB,Paraíba,Belém do Brejo do Cruz,Zona Rural
PB,Paraíba,Bernardino Batista
PB,Paraíba,Bernardino Batista,Centro
PB,Paraíba,Bernardino Batista,Zona Rural
PB,Paraíba,Boa Ventura
PB,Paraíba,Boa Ventura,Alto do Céu
PB,Paraíba,Boa Ventura,Arsenio Alves
PB,Paraíba,Boa Ventura,Centro
PB,Paraíba,Boa Ventura,Zona Rural
PB,Paraíba,Boa Vista
PB,Paraíba,Boa Vista,Centro
PB,Paraíba,Boa Vista,Jardim Paulistano
PB,Paraíba,Boa Vista,Zona Rural
PB,Paraíba,Boa Vista - Gado Bravo
PB,Paraíba,Boa Vista - Gado Bravo,Centro
PB,Paraíba,Bola
PB,Paraíba,Bola,Centro
PB,Paraíba,Bom Jesus
PB,Paraíba,Bom Jesus,Alto Boa Vista
PB,Paraíba,Bom Jesus,Alto Cagepa
PB,Paraíba,Bom Jesus,Asa Branca
PB,Paraíba,Bom Jesus,Casas Populares
PB,Paraíba,Bom Jesus,Centro
PB,Paraíba,Bom Jesus,Maria s Brito
PB,Paraíba,Bom Jesus - São José de Piranhas
PB,Paraíba,Bom Sucesso
PB,Paraíba,Bom Sucesso,Antao g Almeida
PB,Paraíba,Bom Sucesso,Centro
PB,Paraíba,Bom Sucesso,Zona Rural
PB,Paraíba,Bomburral
PB,Paraíba,Bomburral,Centro
PB,Paraíba,Bonito de Santa Fé
PB,Paraíba,Bonito de Santa Fé,Alto Boa Vista
PB,Paraíba,Bonito de Santa Fé,Centro
PB,Paraíba,Bonito de Santa Fé,Jardim Arruda
PB,Paraíba,Bonito de Santa Fé,Mutirão
PB,Paraíba,Bonito de Santa Fé,Popular
PB,Paraíba,Bonito de Santa Fé,Zona Rural
PB,Paraíba,Boqueirão
PB,Paraíba,Boqueirão,Bairro Novo
PB,Paraíba,Boqueirão,Bela Vista
PB,Paraíba,Boqueirão,Carlos m Dunga
PB,Paraíba,Boqueirão,Cehap
PB,Paraíba,Boqueirão,Centro
PB,Paraíba,Boqueirão,Malvinas
PB,Paraíba,Boqueirão,Mororo
PB,Paraíba,Boqueirão,Zona Rural
PB,Paraíba,Boqueirão - Gurinhém
PB,Paraíba,Boqueirão - Gurinhém,Centro
PB,Paraíba,Boqueirão - Gurinhém,Zona Rural
PB,Paraíba,Borborema
PB,Paraíba,Borborema,Acacias
PB,Paraíba,Borborema,Centro
PB,Paraíba,Borborema,Nova Esperanca
PB,Paraíba,Borborema,Zona Rural
PB,Paraíba,Braga - Campo de Santana
PB,Paraíba,Braga - Campo de Santana,Centro
PB,Paraíba,Brasília
PB,Paraíba,Brasília,Centro
PB,Paraíba,Brejinho - Itabaiana
PB,Paraíba,Brejinho - Itabaiana,Centro
PB,Paraíba,Brejo das Freiras
PB,Paraíba,Brejo das Freiras,Centro
PB,Paraíba,Brejo do Cruz
PB,Paraíba,Brejo do Cruz,Antonio Mariz
PB,Paraíba,Brejo do Cruz,Bairro Estados
PB,Paraíba,Brejo do Cruz,Barragem
PB,Paraíba,Brejo do Cruz,Centro
PB,Paraíba,Brejo do Cruz,Popular
PB,Paraíba,Brejo do Cruz,Zona Rural
PB,Paraíba,Brejo dos Santos
PB,Paraíba,Brejo dos Santos,Alto Cruzeiro
PB,Paraíba,Brejo dos Santos,Centro
PB,Paraíba,Brejo dos Santos,Jose Calixto
PB,Paraíba,Brejo dos Santos,Popular
PB,Paraíba,Caaporã
PB,Paraíba,Caaporã,Centro
PB,Paraíba,Caaporã,Mutirao
PB,Paraíba,Caaporã,Nova Caapora
PB,Paraíba,Caaporã,Pereirao
PB,Paraíba,Caaporã,Primavera
PB,Paraíba,Caaporã,Santa Cruz
PB,Paraíba,Caaporã,Santo Antonio
PB,Paraíba,Caaporã,Sao Joao
PB,Paraíba,Caaporã,Sao Pedro
PB,Paraíba,Caaporã,Sao Vicente
PB,Paraíba,Caaporã,Zona Rural
PB,Paraíba,Cabaceiras
PB,Paraíba,Cabaceiras,Centro
PB,Paraíba,Cabaceiras,Zona Rural
PB,Paraíba,Cabedelo
PB,Paraíba,Cabedelo,Altiplano
PB,Paraíba,Cabedelo,Areia Dourada
PB,Paraíba,Cabedelo,Bessa
PB,Paraíba,Cabedelo,Cabedelo
PB,Paraíba,Cabedelo,Camalau
PB,Paraíba,Cabedelo,Camboinha
PB,Paraíba,Cabedelo,Camboinha II
PB,Paraíba,Cabedelo,Centro
PB,Paraíba,Cabedelo,Comércio
PB,Paraíba,Cabedelo,Ernani Sátiro
PB,Paraíba,Cabedelo,Ernesto Geisel
PB,Paraíba,Cabedelo,Est. De Cabedelo
PB,Paraíba,Cabedelo,Estrada de Cabedelo
PB,Paraíba,Cabedelo,Expedicionários
PB,Paraíba,Cabedelo,Formosa
PB,Paraíba,Cabedelo,Funcionários
PB,Paraíba,Cabedelo,Intermares
PB,Paraíba,Cabedelo,Jacare
PB,Paraíba,Cabedelo,Jaguaribe
PB,Paraíba,Cabedelo,Jardim Alfa
PB,Paraíba,Cabedelo,Jardim America
PB,Paraíba,Cabedelo,Jardim Beta
PB,Paraíba,Cabedelo,Jardim Brasilia
PB,Paraíba,Cabedelo,Jardim Camboinha
PB,Paraíba,Cabedelo,Jardim Campina
PB,Paraíba,Cabedelo,Jardim Cidade Universitária
PB,Paraíba,Cabedelo,Jardim Gama
PB,Paraíba,Cabedelo,Jardim Jerico
PB,Paraíba,Cabedelo,Jardim Manguinhos
PB,Paraíba,Cabedelo,Jardim Maralina
PB,Paraíba,Cabedelo,Jardim Oceania
PB,Paraíba,Cabedelo,Jardim São Paulo
PB,Paraíba,Cabedelo,José Américo Almeida
PB,Paraíba,Cabedelo,Lot Nova Morada
PB,Paraíba,Cabedelo,Lot Parque Amazonas
PB,Paraíba,Cabedelo,Loteamento Amazonas Parque
PB,Paraíba,Cabedelo,Monte Castelo
PB,Paraíba,Cabedelo,Morada Nova
PB,Paraíba,Cabedelo,Ns Conceição
PB,Paraíba,Cabedelo,Parque Esperanca
PB,Paraíba,Cabedelo,Parque Verde
PB,Paraíba,Cabedelo,Poco
PB,Paraíba,Cabedelo,Ponta Campina
PB,Paraíba,Cabedelo,Ponta Mato
PB,Paraíba,Cabedelo,Portal do Poço
PB,Paraíba,Cabedelo,Praia Formosa
PB,Paraíba,Cabedelo,Praia Mar
PB,Paraíba,Cabedelo,Praia Norte
PB,Paraíba,Cabedelo,Recanto Poco
PB,Paraíba,Cabedelo,Renanscer
PB,Paraíba,Cabedelo,Renascer
PB,Paraíba,Cabedelo,Renascer ii
PB,Paraíba,Cabedelo,Renascer iii
PB,Paraíba,Cabedelo,Renascer iv
PB,Paraíba,Cabedelo,Salinas Ribamar
PB,Paraíba,Cabedelo,Sem Bairro
PB,Paraíba,Cabedelo,Serrotao
PB,Paraíba,Cabedelo,Varadouro
PB,Paraíba,Cabedelo,Verdes Mares
PB,Paraíba,Caboclo
PB,Paraíba,Caboclo,Centro
PB,Paraíba,Cabral
PB,Paraíba,Cabral,Centro
PB,Paraíba,Cachoeira - Guarabira
PB,Paraíba,Cachoeira - Guarabira,Centro
PB,Paraíba,Cachoeira - Guarabira,Zona Rural
PB,Paraíba,Cachoeira dos Alves
PB,Paraíba,Cachoeira dos Índios
PB,Paraíba,Cachoeira dos Índios,Centro
PB,Paraíba,Cachoeira dos Índios,Fazenda Velha
PB,Paraíba,Cachoeira dos Índios,Lino Sousa
PB,Paraíba,Cachoeira dos Índios,Zona Rural
PB,Paraíba,Cachoeirinha - Campo de Santana
PB,Paraíba,Cachoeirinha - Campo de Santana,Centro
PB,Paraíba,Cacimba de Areia
PB,Paraíba,Cacimba de Areia,Antonio s Moura
PB,Paraíba,Cacimba de Areia,Centro
PB,Paraíba,Cacimba de Areia,Nova Esperanca
PB,Paraíba,Cacimba de Areia,Vila Amor
PB,Paraíba,Cacimba de Dentro
PB,Paraíba,Cacimba de Dentro,Centro
PB,Paraíba,Cacimba de Dentro,Novo
PB,Paraíba,Cacimba de Dentro,Velho
PB,Paraíba,Cacimba de Dentro,Zona Rural
PB,Paraíba,Cacimbas
PB,Paraíba,Cacimbas,Centro
PB,Paraíba,Cacimbinha
PB,Paraíba,Café do Vento - Passagem
PB,Paraíba,Café do Vento - Passagem,Centro
PB,Paraíba,Café do Vento - Passagem,Zona Rural
PB,Paraíba,Caiçara
PB,Paraíba,Caiçara,Centro
PB,Paraíba,Caiçara,Zona Rural
PB,Paraíba,Caieira
PB,Paraíba,Caieira,Centro
PB,Paraíba,Cajá - Caldas Brandão
PB,Paraíba,Cajá - Caldas Brandão,Centro
PB,Paraíba,Cajá - Caldas Brandão,cj residencial
PB,Paraíba,Cajá - Caldas Brandão,Esperanca
PB,Paraíba,Cajá - Caldas Brandão,Novo
PB,Paraíba,Cajá - Caldas Brandão,Zona Rural
PB,Paraíba,Cajá - Itatuba
PB,Paraíba,Cajá - Itatuba,Centro
PB,Paraíba,Cajazeiras
PB,Paraíba,Cajazeiras,Aeroporto
PB,Paraíba,Cajazeiras,Alto Boa Vista
PB,Paraíba,Cajazeiras,Areia
PB,Paraíba,Cajazeiras,Belo Horizonte
PB,Paraíba,Cajazeiras,Boa Vista
PB,Paraíba,Cajazeiras,Capoeiras
PB,Paraíba,Cajazeiras,Centenario
PB,Paraíba,Cajazeiras,Centro
PB,Paraíba,Cajazeiras,Cocode
PB,Paraíba,Cajazeiras,Cristo Rei
PB,Paraíba,Cajazeiras,Cuia
PB,Paraíba,Cajazeiras,Dona Crisantina
PB,Paraíba,Cajazeiras,Esperanca
PB,Paraíba,Cajazeiras,Gilliard i
PB,Paraíba,Cajazeiras,Gilliard ii
PB,Paraíba,Cajazeiras,Ipep
PB,Paraíba,Cajazeiras,Jardim Adalgisa
PB,Paraíba,Cajazeiras,Jardim Oasis
PB,Paraíba,Cajazeiras,Jardim Primavera
PB,Paraíba,Cajazeiras,Leopoldina
PB,Paraíba,Cajazeiras,Leopoldina ii
